# Time-averaged data for fix cell_info
# TimeStep v_avol v_alx v_aly v_alz
864000 1387.8 10.9734 10.9734 11.5248
866000 1387.04 10.9714 10.9714 11.5227
868000 1390.94 10.9817 10.9817 11.5335
870000 1386.2 10.9691 10.9691 11.5203
872000 1389.07 10.9767 10.9767 11.5283
874000 1389.36 10.9775 10.9775 11.5291
876000 1387.3 10.972 10.972 11.5234
878000 1389.24 10.9771 10.9771 11.5287
880000 1387.93 10.9737 10.9737 11.5251
882000 1388.18 10.9744 10.9744 11.5259
884000 1388.6 10.9755 10.9755 11.5271
886000 1387.49 10.9725 10.9725 11.5239
888000 1386.17 10.9692 10.9692 11.5204
890000 1385.2 10.9665 10.9665 11.5176
892000 1385.16 10.9664 10.9664 11.5175
894000 1385.13 10.9663 10.9663 11.5173
896000 1385.34 10.9669 10.9669 11.518
898000 1386.04 10.9688 10.9688 11.5199
900000 1382.85 10.9604 10.9604 11.5111
902000 1382.15 10.9585 10.9585 11.5091
904000 1385.14 10.9664 10.9664 11.5174
906000 1381.87 10.9577 10.9577 11.5083
908000 1383.57 10.9622 10.9622 11.5131
910000 1384.39 10.9644 10.9644 11.5154
912000 1380.43 10.954 10.954 11.5044
914000 1379.7 10.952 10.952 11.5024
916000 1380.12 10.9532 10.9532 11.5036
918000 1380.37 10.9538 10.9538 11.5042
920000 1378.26 10.9482 10.9482 11.4983
922000 1378.46 10.9487 10.9487 11.4989
924000 1379.64 10.9518 10.9518 11.5022
926000 1379.09 10.9504 10.9504 11.5006
928000 1378.4 10.9486 10.9486 11.4988
930000 1377.9 10.9473 10.9473 11.4974
932000 1377.19 10.9454 10.9454 11.4954
934000 1376.7 10.9441 10.9441 11.494
936000 1375.63 10.9412 10.9412 11.491
938000 1375.11 10.9399 10.9399 11.4896
940000 1376.51 10.9436 10.9436 11.4935
942000 1374.47 10.9382 10.9382 11.4878
944000 1374.29 10.9377 10.9377 11.4874
946000 1373.62 10.936 10.936 11.4855
948000 1373.11 10.9346 10.9346 11.4841
950000 1372.41 10.9328 10.9328 11.4821
952000 1372.06 10.9318 10.9318 11.4812
954000 1371.83 10.9312 10.9312 11.4805
956000 1370.13 10.9267 10.9267 11.4758
958000 1370.02 10.9264 10.9264 11.4755
960000 1369.8 10.9258 10.9258 11.4749
962000 1369.22 10.9243 10.9243 11.4733
964000 1369.49 10.925 10.925 11.474
966000 1369.24 10.9244 10.9244 11.4733
968000 1369.4 10.9248 10.9248 11.4738
970000 1369.23 10.9243 10.9243 11.4733
972000 1369.42 10.9248 10.9248 11.4738
974000 1369.2 10.9242 10.9242 11.4732
976000 1369.43 10.9248 10.9248 11.4738
978000 1369.25 10.9244 10.9244 11.4733
980000 1369.33 10.9246 10.9246 11.4736
982000 1369.23 10.9243 10.9243 11.4733
984000 1369.3 10.9245 10.9245 11.4735
986000 1369.34 10.9246 10.9246 11.4736
988000 1369.35 10.9246 10.9246 11.4736
990000 1369.34 10.9246 10.9246 11.4736
992000 1369.41 10.9248 10.9248 11.4738
994000 1369.43 10.9248 10.9248 11.4738
996000 1369.44 10.9249 10.9249 11.4739
998000 1369.33 10.9246 10.9246 11.4735
1000000 1369.35 10.9246 10.9246 11.4736
1002000 1369.32 10.9245 10.9245 11.4735
1004000 1369.38 10.9247 10.9247 11.4737
1006000 1369.33 10.9246 10.9246 11.4736
1008000 1369.51 10.9251 10.9251 11.4741
1010000 1369.24 10.9244 10.9244 11.4733
1012000 1369.43 10.9248 10.9248 11.4738
1014000 1369.28 10.9245 10.9245 11.4734
1016000 1369.41 10.9248 10.9248 11.4738
1018000 1369.31 10.9245 10.9245 11.4735
1020000 1369.3 10.9245 10.9245 11.4735
1022000 1369.38 10.9247 10.9247 11.4737
1024000 1369.34 10.9246 10.9246 11.4736
1026000 1369.26 10.9244 10.9244 11.4733
1028000 1369.35 10.9246 10.9246 11.4736
1030000 1369.27 10.9244 10.9244 11.4734
1032000 1369.43 10.9249 10.9249 11.4738
1034000 1369.35 10.9246 10.9246 11.4736
1036000 1369.33 10.9246 10.9246 11.4736
1038000 1369.34 10.9246 10.9246 11.4736
1040000 1369.39 10.9247 10.9247 11.4737
